,strDrink,idDrink,strAlcoholic,strCategory,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9
132,Belgian Blue,14071,Alcoholic,Soft Drink / Soda,Vodka,,,,,,,Coconut liqueur,Blue Curacao,Sprite,,,,,
133,Bellini,17195,Alcoholic,Ordinary Drink,Champagne,,,,,,,Peach schnapps,,,,,,,
134,Bellini Martini,16176,Alcoholic,Ordinary Drink,Ice,,,,,,,Vodka,Peach nectar,Peach schnapps,Lemon peel,,,,
135,Bermuda Highball,11084,Alcoholic,Ordinary Drink,Brandy,,,,,,,Gin,Dry Vermouth,Carbonated water,Lemon peel,,,,
136,Berry Deadly,12876,Alcoholic,Punch / Party Drink,Everclear,,,,,,,Wine,Orange juice,Kool-Aid,,,,,
137,Between The Sheets,17184,Alcoholic,Ordinary Drink,Brandy,,,,,,,Light rum,Triple sec,Lemon juice,,,,,
138,Bible Belt,16986,Alcoholic,Other/Unknown,Southern Comfort,,,,,,,Triple sec,Lime,Sour mix,,,,,
139,Big Red,13222,Alcoholic,Shot,Irish cream,,,,,,,Goldschlager,,,,,,,
140,Black & Tan,13282,Alcoholic,Beer,Ale,,,,,,,Guinness stout,,,,,,,
141,Black Forest Shake,15951,Alcoholic,Milk / Float / Shake,Ice,,,,,,,Chocolate syrup,Cherry brandy,Vodka,Milk,,,,
142,Black Russian,11102,Alcoholic,Ordinary Drink,Coffee liqueur,,,,,,,Vodka,,,,,,,
143,Black and Brown,16403,Alcoholic,Beer,Guinness stout,,,,,,,Root beer,,,,,,,
144,Blackthorn,11106,Alcoholic,Ordinary Drink,Sweet Vermouth,,,,,,,Sloe gin,Lemon peel,,,,,,
145,Bleeding Surgeon,16295,Alcoholic,Soft Drink / Soda,Dark rum,,,,,,,Orange,Surge,Cranberry juice,,,,,
146,Blind Russian,14356,Alcoholic,Milk / Float / Shake,Bailey's irish cream,,,,,,,Godiva liqueur,Kahlua,Butterscotch schnapps,Milk,,,,
147,Bloody Maria,11112,Alcoholic,Ordinary Drink,Tequila,,,,,,,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,
148,Bloody Mary,11113,Alcoholic,Ordinary Drink,Vodka,,,,,,,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,
149,Blue Lagoon,11117,Alcoholic,Ordinary Drink,Vodka,,,,,,,Blue Curacao,Lemonade,Cherry,,,,,
150,Blue Margarita,11118,Alcoholic,Ordinary Drink,Tequila,,,,,,,Blue Curacao,Lime juice,Salt,,,,,
151,Blue Mountain,11119,Alcoholic,Ordinary Drink,Añejo rum,,,,,,,Tia maria,Vodka,Orange juice,Lemon juice,,,,
152,Bluebird,11120,Alcoholic,Ordinary Drink,Gin,,,,,,,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,
153,Bob Marley,13395,Alcoholic,Shot,Midori melon liqueur,,,,,,,Jägermeister,Goldschlager,,,,,,
154,Bobby Burns Cocktail,11121,Alcoholic,Ordinary Drink,Sweet Vermouth,,,,,,,Scotch,Benedictine,Lemon peel,,,,,
155,Boomerang,11124,Alcoholic,Ordinary Drink,Gin,,,,,,,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,
156,Boozy Snickers Milkshake,17221,Alcoholic,Milk / Float / Shake,Vanilla Ice-Cream,,,,,,,Milk,Godiva liqueur,Whipped Cream,caramel sauce,chocolate sauce,Mini-snickers bars,,
157,Bora Bora,12572,Non alcoholic,Cocktail,Pineapple juice,,,,,,,Passion fruit juice,Lemon juice,Grenadine,,,,,
158,Boston Sidecar,11128,Alcoholic,Ordinary Drink,Light rum,,,,,,,Brandy,Triple sec,Lime,,,,,
159,Boston Sour,11129,Alcoholic,Ordinary Drink,Blended whiskey,,,,,,,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,
160,Bourbon Sling,11146,Alcoholic,Ordinary Drink,Sugar,,,,,,,Water,Lemon juice,Bourbon,Lemon peel,,,,
161,Bourbon Sour,11147,Alcoholic,Ordinary Drink,Bourbon,,,,,,,Lemon juice,Sugar,Orange,Maraschino cherry,,,,
162,Boxcar,11149,Alcoholic,Ordinary Drink,Gin,,,,,,,Triple sec,Lemon juice,Grenadine,Egg white,,,,
163,Brain Fart,17120,Alcoholic,Punch / Party Drink,Everclear,,,,,,,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,
164,Brainteaser,13405,Alcoholic,Shot,Sambuca,,,,,,,Erin Cream,Advocaat,,,,,,
165,Bramble,17210,Alcoholic,Ordinary Drink,Gin,,,,,,,lemon juice,Sugar syrup,Creme de Mure,,,,,
166,Brandon and Will's Coke Float,16447,Alcoholic,Soft Drink / Soda,Vanilla ice-cream,,,,,,,Coca-Cola,Bourbon,,,,,,
167,Brandy Alexander,11016,Alcoholic,Ordinary Drink,Brandy,,,,,,,Creme de Cacao,Light cream,Nutmeg,,,,,
168,Brandy Cobbler,11157,Alcoholic,Ordinary Drink,Sugar,,,,,,,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,
169,Brandy Flip,11164,Alcoholic,Ordinary Drink,Brandy,,,,,,,Egg,Sugar,Light cream,Nutmeg,,,,
170,Brandy Sour,11170,Alcoholic,Ordinary Drink,Brandy,,,,,,,Lemon,Powdered sugar,Lemon,Cherry,,,,
171,Brave Bull Shooter,13068,Alcoholic,Shot,Tequila,,,,,,,Tabasco sauce,,,,,,,
172,Bruce's Puce,13066,Alcoholic,Shot,Grenadine,,,,,,,Kahlua,Bailey's irish cream,,,,,,
173,Bruised Heart,16998,Alcoholic,Shot,Vodka,,,,,,,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,
174,Bubble Gum,14730,Alcoholic,Shot,Vodka,,,,,,,Banana liqueur,Orange juice,Peach schnapps,,,,,
175,Buccaneer,17035,Alcoholic,Beer,Corona,,,,,,,Bacardi Limon,,,,,,,
176,Bumble Bee #1,14538,Alcoholic,Shot,Bailey's irish cream,,,,,,,Kahlua,Sambuca,,,,,,
177,Butter Baby,17220,Alcoholic,Milk / Float / Shake,Vanilla Ice-Cream,,,,,,,Butterscotch schnapps,Milk,Vodka,,,,,
178,Cafe Savoy,14181,Alcoholic,Coffee / Tea,Coffee,,,,,,,Milk,Triple sec,Brandy,,,,,
179,Caipirinha,11202,Alcoholic,Ordinary Drink,Sugar,,,,,,,Lime,Cachaca,,,,,,
180,Caipirissima,13206,Alcoholic,Ordinary Drink,Lime,,,,,,,Sugar,White rum,Ice,,,,,
181,California Lemonade,11205,Alcoholic,Ordinary Drink,Blended whiskey,,,,,,,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,
182,California Root Beer,14282,Alcoholic,Soft Drink / Soda,Kahlua,,,,,,,Galliano,Soda water,,,,,,
183,Campari Beer,16047,Alcoholic,Beer,Lager,,,,,,,Campari,,,,,,,
184,Caribbean Boilermaker,17065,Alcoholic,Beer,Corona,,,,,,,Light rum,,,,,,,
185,Caribbean Orange Liqueur,12796,Alcoholic,Homemade Liqueur,Orange,,,,,,,Vodka,Sugar,,,,,,
186,Casino,17185,Alcoholic,Ordinary Drink,Gin,,,,,,,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,
187,Casino Royale,11224,Alcoholic,Ordinary Drink,Gin,,,,,,,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,
188,Castillian Hot Chocolate,12730,Non alcoholic,Cocoa,Cocoa powder,,,,,,,Sugar,Cornstarch,Water,Milk,,,,
189,Champagne Cocktail,11227,Alcoholic,Ordinary Drink,Champagne,,,,,,,Sugar,Bitters,Lemon peel,Cognac,,,,
